scene_id,scene_number,location,time_of_day,speaker,text,normalized_text,sentiment,sentiment_score,word_count
S0003,3,موقع غير محدد,ليل,لؤي,انت بتودي نفسك في داهية يا ابني .. انت مش  عارف انا مين,انت بتودي نفسك في داهيه يا ابني .. انت مش  عارف انا مين,unknown,0.0,12
S0003,3,موقع غير محدد,ليل,امجد,عارف .. شوفتك الصبح  وانت بتفتش الفيلا,عارف .. شوفتك الصبح  وانت بتفتش الفيلا,unknown,0.0,6
S0003,3,موقع غير محدد,ليل,لؤي,طب ما انت عارف اهو ..  عارف كمان بقى التعرض لظابط اثناء تأدية عمله ..  ايه عقوبته,طب ما انت عارف اهو ..  عارف كمان بقي التعرض لظابط اثناء تاديه عمله ..  ايه عقوبته,unknown,0.0,15
S0003,3,موقع غير محدد,ليل,امجد,وهمه الظباط وهمه بيعملوا شغلهم .. بيدخلوا زي الحرامية يصمت لؤي عثمان دون رد فيبتسم امجد وهو ينظر له,وهمه الظباط وهمه بيعملوا شغلهم .. بيدخلوا زي الحراميه يصمت لؤي عثمان دون رد فيبتسم امجد وهو ينظر له,unknown,0.0,18
S0003,3,موقع غير محدد,ليل,امجد,قولي كنت جاي عايز ايه وانا اساعدك,قولي كنت جاي عايز ايه وانا اساعدك,unknown,0.0,7
S0003,3,موقع غير محدد,ليل,امجد,ما تستصغرنيش ... انت ما تعرفش انا اعرف ايه ... يمكن لو كنت مسكتك من يوم بس .. كان زماني قالب عليك الدنيا .. بس تقدر تقول كده ان  بقيت متأكد ان  اي حد بيفتش ورا عيلتي .. اكيد عنده سبب .. ان ما كنش  عنده حق,ما تستصغرنيش .. انت ما تعرفش انا اعرف ايه .. يمكن لو كنت مسكتك من يوم بس .. كان زماني قالب عليك الدنيا .. بس تقدر تقول كده ان  بقيت متاكد ان  اي حد بيفتش ورا عيلتي .. اكيد عنده سبب .. ان ما كنش  عنده حق,unknown,0.0,41
S0003,3,موقع غير محدد,ليل,لؤي,عايز تفهمني .. انك عارف كل حاجة عن عيلتك ...ده انت ما كملتش عشرين سنة ينظر امجد الى الدور العلوي ثم يعود لينظر الى لؤي,عايز تفهمني .. انك عارف كل حاجه عن عيلتك ..ده انت ما كملتش عشرين سنه ينظر امجد الي الدور العلوي ثم يعود لينظر الي لؤي,unknown,0.0,24
S0003,3,موقع غير محدد,ليل,امجد,: في ليلة واحدة ممكن تكبر مية سنة .. مثلا .. تمر بحادثة تكبرك .. تشوف فيلم فيه حكاية تنط بيك سنين لقدام ... تقرا رواية فيها تجربة تعجزك  مش بس تكبرك,: في ليله واحده ممكن تكبر ميه سنه .. مثلا .. تمر بحادثه تكبرك .. تشوف فيلم فيه حكايه تنط بيك سنين لقدام .. تقرا روايه فيها تجربه تعجزك  مش بس تكبرك,unknown,0.0,27
S0003,3,موقع غير محدد,ليل,لؤي,ماشي يا فيلسوف ... ابوك ... قتل ابويا ... تعرف ايه عن ده,ماشي يا فيلسوف .. ابوك .. قتل ابويا .. تعرف ايه عن ده,unknown,0.0,10
S0004,4,موقع غير محدد,ليل,حبس الرجال,يرقد رأفت  معطي ظهره لمدحت النائم في النصف بينه وبين طارق الذي كان يعطي ظهره لمدحت ايضا ولكنه يستدير ليعطي لمدحت وجهه,يرقد رافت  معطي ظهره لمدحت النائم في النصف بينه وبين طارق الذي كان يعطي ظهره لمدحت ايضا ولكنه يستدير ليعطي لمدحت وجهه,unknown,0.0,22
S0004,4,موقع غير محدد,ليل,مدحت,عم طارق .. ما تديش ضهرك لغريب في حبس يا حبيبي يعتدل طارق ليعطي ظهره لمدحت فيصمت مدحت قليلا  ثم يتحدث,عم طارق .. ما تديش ضهرك لغريب في حبس يا حبيبي يعتدل طارق ليعطي ظهره لمدحت فيصمت مدحت قليلا  ثم يتحدث,unknown,0.0,20
S0004,4,موقع غير محدد,ليل,مدحت,عارف يا طارق .. ربنا يعلم انت معزتك كانت عاملة ازاي في قلبي .. ويعلم اكتر ان ما كنش قصدي ائذيك,عارف يا طارق .. ربنا يعلم انت معزتك كانت عامله ازاي في قلبي .. ويعلم اكتر ان ما كنش قصدي ائذيك,unknown,0.0,19
S0004,4,موقع غير محدد,ليل,طارق,كلنا كنا بنعز بعض .. وكلنا اذينا بعض من غير قصد .. بس النتيجة واحدة .. الزمن ما بيرجعش لورا,كلنا كنا بنعز بعض .. وكلنا اذينا بعض من غير قصد .. بس النتيجه واحده .. الزمن ما بيرجعش لورا,unknown,0.0,17
